State,Notable Clients,Profile/Stats,Number of Cases Signed Per Month,Typical Conversion Rate,Notes
"California CA","","$3000-4000 average case cost for the state; $1549 per case average; $4456.56 average spends $250k per month; $68-1000 leads per month; Client since our 1st year in business over $4 million spend to date","40+","0-10%","ALL STATES NOT LISTED NO NOTABLE CLIENTS BUT NATIONAL CLIENT DATA BELOW"
"Texas TX","client 1; client 2; client 3","$2000 average case cost in the state about $250-$300 per lead; client for over 4 years ~$2k spend; Average acquisition cost around 1700-$2000; Write responsible for over 500 cases signed through a case signing company relationship","20+","~15%","SELL THESE NUMBERS BELOW: $2k average case cost 15% conversion $300-325 average CPL = if you're taking a 10 or 15% margin; $2k-2500 average case cost 15% conversion $300-350 per lead = if you're taking a 20% margin"
"Louisiana LA","client 4; client 5; client 6","$2k average case costs about $250-$300 per lead; Client since March 2021 less than $2k cost per case signs 40+ cases per month with us","30+","5%","Notes on Details provided: if a piece of data or figure is not available for any client or state it's because I don't think that information will help you close use the information I provided"
"Florida FL","client 6","$2k Average CPC about $250-300 per lead; $1200 average case cost client since early 2020","30+","5%",""
"AZ/UT TX","client 6","$1200 average case cost client since early 2020","80+","5%",""
"Washington State WA","client 7","$2500 average cpc about $250-$300 per lead","","10-15%",""
"OR UT ID","client 8","Client since 2020 over $1.5 million spend","","",""
"NM","client 9; client 10","$2k average case cost $300 per lead about a 15% conversion rate; client since June 2020 average cost per case about $2k; a lot of trucking cases more than average states and NM trucking cases are 4x more likely to result in a fatality - very high value cases","","~15%",""
"Georgia GA","client 11","$2k per case or less about $200-$350 per lead","","15-25%",""
"VA OH SC","client 12; client 13; client 14","Client since March 26 2021 (Maria's birthday) and my favorite client; $1500 or less average CPC sometimes Well over 100 cases signed per; client since August 2021 over a million spend current cpc $1700; $1600 per case in Georgia and SC","","15%",""
"Pennsylvania PA","client 15; client 16","$1500 possible with aggressive intake $2k or less average $300 per lead 15% conversion rate; Client since 2023 average CPC for 2025 (last year) $1854 15-20% conversion rate statewide but local to Philadelphia Go State; Apparently said humans in the Philadelphia area and if you're talking to a lawyer anywhere close to us around philly in inner field again Go Birds","","15-20%","State Tip: As Pennsylvania is my home state I want to encourage you to give these attorneys some love as lead gen is not such a competitive thing there. They're no bullshit and sometimes outright aggressive you have to speak directly to them with unshakeable confidence"
"North Carolina NC","client 17; client 18; client 19","$200 per lead 15% conversion rate; Client since May 2020 less than 1500 per case","","15%",""
"GA SC","","","","",""
"New York NY","client 20; client 21; client 22","$250 per lead less than $2k per case; not a big firm but quickly expanding even partnering with other firms to pay for campaigns because they're signing cases for less than $2k; Well known everywhere $1500-2k per case","","15%",""

NATIONAL CAMPAIGNS
"National campaigns are states that are relevant and between them all states you can pitch to anyone anywhere anytime. you literally have a reference for every single state"

Client Type,States Covered,Details
"National Client 1","(data firm with office in their state)","an average cost per case of $1500; $2k average CPC"
"National Client 2","SC WV GA SC TN TX","$2k average CPC"
"National Client 3","Nationwide all 50 states","multi 7 figure annual spend"
